x,y
50.6002,25.7731
50.6476,25.7931
50.695,25.813
50.7423,25.833
50.7897,25.853
50.837,25.8729
50.8844,25.8928
50.9317,25.9127
50.979,25.9326
51.0262,25.9525
51.0735,25.9723
51.1208,25.9922
51.168,26.012
51.2152,26.0318
51.2624,26.0516
51.3096,26.0713
51.3567,26.0911
51.4039,26.1108
51.451,26.1305
51.4981,26.1502
51.5452,26.1699
51.5923,26.1896
51.6394,26.2092
51.6864,26.2289
51.7335,26.2485
51.7805,26.2681
51.8275,26.2877
51.8745,26.3073
51.9214,26.3268
51.9684,26.3464
52.0153,26.3659
52.0623,26.3854
52.1092,26.4049
52.1561,26.4243
52.2029,26.4438
52.2498,26.4632
52.2966,26.4827
52.3435,26.5021
52.3903,26.5215
52.4371,26.5408
52.4839,26.5602
52.5306,26.5795
52.5774,26.5989
52.6241,26.6182
52.6708,26.6375
52.7175,26.6567
52.7642,26.676
52.8109,26.6952
52.8576,26.7145
52.9042,26.7337
52.9508,26.7529
52.9974,26.772
53.044,26.7912
53.0906,26.8104
53.1372,26.8295
53.1837,26.8486
53.2302,26.8677
53.2767,26.8868
53.3232,26.9058
53.3697,26.9249
53.4162,26.9439
53.4626,26.9629
53.5091,26.9819
53.5555,27.0009
53.6019,27.0199
53.6483,27.0388
53.6947,27.0578
53.741,27.0767
53.7874,27.0956
53.8337,27.1145
53.88,27.1334
53.9263,27.1522
53.9726,27.171
54.0189,27.1899
54.0651,27.2087
54.1114,27.2275
54.1576,27.2462
54.2038,27.265
54.25,27.2837
54.2961,27.3025
54.3423,27.3212
54.3884,27.3399
54.4346,27.3586
54.4807,27.3772
54.5268,27.3959
54.5729,27.4145
54.6189,27.4331
54.665,27.4517
54.711,27.4703
54.757,27.4889
54.803,27.5074
54.849,27.5259
54.895,27.5445
54.941,27.563
54.9869,27.5814
55.0328,27.5999
55.0788,27.6184
55.1247,27.6368
55.1705,27.6552
55.2164,27.6736
55.2623,27.692
55.3081,27.7104
55.3539,27.7288
55.3997,27.7471
55.4455,27.7654
55.4913,27.7838
55.5371,27.8021
55.5828,27.8203
55.6286,27.8386
55.6743,27.8568
55.72,27.8751
55.7657,27.8933
55.8114,27.9115
55.857,27.9297
55.9027,27.9479
55.9483,27.966
55.9939,27.9842
56.0395,28.0023
56.0851,28.0204
56.1307,28.0385
56.1762,28.0565
56.2217,28.0746
56.2673,28.0927
56.3128,28.1107
56.3583,28.1287
56.4038,28.1467
56.4492,28.1647
56.4947,28.1826
56.5401,28.2006
56.5855,28.2185
56.6309,28.2364
56.6763,28.2543
56.7217,28.2722
56.7671,28.2901
56.8124,28.308
56.8577,28.3258
56.9031,28.3436
56.9484,28.3614
56.9937,28.3792
57.0389,28.397
57.0842,28.4148
57.1294,28.4325
57.1747,28.4503
57.2199,28.468
57.2651,28.4857
57.3103,28.5034
57.3554,28.521
57.4006,28.5387
57.4457,28.5563
57.4909,28.5739
57.536,28.5916
57.5811,28.6092
57.6261,28.6267
57.6712,28.6443
57.7163,28.6618
57.7613,28.6794
57.8063,28.6969
57.8513,28.7144
57.8963,28.7319
57.9413,28.7493
