t,v(t)
23.86,-217.928
23.88,-218.088
23.9,-218.247
23.92,-218.406
23.94,-218.565
23.96,-218.724
23.98,-218.883
24,-219.042
24.02,-219.201
24.04,-219.36
24.06,-219.518
24.08,-219.677
24.1,-219.835
24.12,-219.994
24.14,-220.152
24.16,-220.311
24.18,-220.469
24.2,-220.627
24.22,-220.785
24.24,-220.944
24.26,-221.102
24.28,-221.26
24.3,-221.417
24.32,-221.575
24.34,-221.733
24.36,-221.891
24.38,-222.048
24.4,-222.206
24.42,-222.363
24.44,-222.521
24.46,-222.678
24.48,-222.836
24.5,-222.993
24.52,-223.15
24.54,-223.307
24.56,-223.464
24.58,-223.621
24.6,-223.778
24.62,-223.935
24.64,-224.092
24.66,-224.248
24.68,-224.405
24.7,-224.561
24.72,-224.718
24.74,-224.874
24.76,-225.031
24.78,-225.187
24.8,-225.343
24.82,-225.499
24.84,-225.655
24.86,-225.811
24.88,-225.967
24.9,-226.123
24.92,-226.279
24.94,-226.435
24.96,-226.591
24.98,-226.746
25,-226.902
25.02,-227.057
25.04,-227.213
25.06,-227.368
25.08,-227.523
25.1,-227.678
25.12,-227.833
25.14,-227.988
25.16,-228.143
25.18,-228.298
25.2,-228.453
25.22,-228.608
25.24,-228.763
25.26,-228.917
25.28,-229.072
25.3,-229.226
25.32,-229.381
25.34,-229.535
25.36,-229.689
25.38,-229.844
25.4,-229.998
25.42,-230.152
25.44,-230.306
25.46,-230.46
25.48,-230.614
25.5,-230.767
25.52,-230.921
25.54,-231.075
25.56,-231.228
25.58,-231.382
25.6,-231.535
25.62,-231.688
25.64,-231.842
25.66,-231.995
25.68,-232.148
25.7,-232.301
25.72,-232.454
25.74,-232.607
25.76,-232.76
25.78,-232.913
25.8,-233.065
25.82,-233.218
25.84,-233.371
25.86,-233.523
25.88,-233.675
25.9,-233.828
25.92,-233.98
25.94,-234.132
25.96,-234.284
25.98,-234.436
26,-234.588
26.02,-234.74
26.04,-234.892
26.06,-235.044
26.08,-235.196
26.1,-235.347
26.12,-235.499
26.14,-235.65
26.16,-235.802
26.18,-235.953
26.2,-236.104
26.22,-236.255
26.24,-236.406
26.26,-236.557
26.28,-236.708
26.3,-236.859
26.32,-237.01
26.34,-237.161
26.36,-237.311
26.38,-237.462
26.4,-237.612
26.42,-237.763
26.44,-237.913
26.46,-238.064
26.48,-238.214
26.5,-238.364
26.52,-238.514
26.54,-238.664
26.56,-238.814
26.58,-238.964
26.6,-239.113
26.62,-239.263
26.64,-239.413
26.66,-239.562
